host,hour,request_count,unique_urls,avg_bytes,total_bytes,error_rate,status_404,status_500,status_200,post_rate,get_rate,url_diversity,bytes_per_req,error_to_ok_ratio,max_bytes,large_req_count,anomaly_score,is_anomaly,label
n42_25.shsu.edu,1995-07-12 21:00:00+00:00,8,7,736469.75,5891758,0.0,0,0,8,0.0,1.0,0.875,736469.75,0.0,1030878,8,-0.17319383099888663,-1,ANOMALY
relay2.us.cp.philips.com,1995-07-07 20:00:00+00:00,11,11,732747.4545454546,8060222,0.0,0,0,11,0.0,1.0,1.0,732747.4545454546,0.0,1121554,11,-0.17317287807375048,-1,ANOMALY
128.159.137.41,1995-07-19 11:00:00+00:00,18,2,0.0,0,1.0,18,0,0,0.0,1.0,0.1111111111111111,0.0,18.0,0,0,-0.1731129179537273,-1,ANOMALY
alberti.cs.berkeley.edu,1995-07-18 05:00:00+00:00,202,195,85490.5396039604,17269089,0.0,0,0,202,0.0,1.0,0.9653465346534653,85490.5396039604,0.0,501126,112,-0.17309186081515981,-1,ANOMALY
piweba3y.prodigy.com,1995-07-04 16:00:00+00:00,163,70,34983.77300613497,5702355,0.0,0,0,153,0.0,1.0,0.4294478527607362,34983.77300613497,0.0,887988,22,-0.17255317261988168,-1,ANOMALY
n26-107.nesusa.com,1995-07-06 03:00:00+00:00,81,70,24600.74074074074,1992660,0.08641975308641975,7,0,74,0.0,1.0,0.8641975308641975,24600.74074074074,0.0945945945945946,501126,10,-0.1719096445320002,-1,ANOMALY
blv-pm0-ip11.halcyon.com,1995-07-05 03:00:00+00:00,102,90,21336.833333333332,2176357,0.0392156862745098,4,0,94,0.0,1.0,0.8823529411764706,21336.833333333332,0.0425531914893617,213174,18,-0.17182631060787212,-1,ANOMALY
ottgate2.bnr.ca,1995-07-03 16:00:00+00:00,1,1,2973350.0,2973350,0.0,0,0,1,0.0,1.0,1.0,2973350.0,0.0,2973350,1,-0.17162092943142848,-1,ANOMALY
jcdbs.itsi.disa.mil,1995-07-07 15:00:00+00:00,7,4,787107.4285714285,5509752,0.0,0,0,7,0.0,1.0,0.5714285714285714,787107.4285714285,0.0,2048000,4,-0.1710793574532995,-1,ANOMALY
piweba4y.prodigy.com,1995-07-08 19:00:00+00:00,97,79,26868.546391752578,2606249,0.041237113402061855,4,0,93,0.0,1.0,0.8144329896907216,26868.546391752578,0.043010752688172046,305722,15,-0.17106168146938494,-1,ANOMALY
130.110.74.81,1995-07-27 12:00:00+00:00,132,114,87172.23484848485,11506735,0.0,0,0,132,0.0,1.0,0.8636363636363636,87172.23484848485,0.0,501126,76,-0.17092947601015018,-1,ANOMALY
gatekeeper.us.oracle.com,1995-07-15 01:00:00+00:00,68,44,39470.970588235294,2684026,0.07352941176470588,5,0,58,0.0,1.0,0.6470588235294118,39470.970588235294,0.08620689655172414,717587,11,-0.1703859700947551,-1,ANOMALY
dfyc-lab146.usafa.af.mil,1995-07-25 22:00:00+00:00,7,1,0.0,0,1.0,7,0,0,0.0,1.0,0.14285714285714285,0.0,7.0,0,0,-0.1702525720212924,-1,ANOMALY
www-b1.proxy.aol.com,1995-07-11 14:00:00+00:00,7,1,0.0,0,1.0,7,0,0,0.0,1.0,0.14285714285714285,0.0,7.0,0,0,-0.1702525720212924,-1,ANOMALY
202.239.48.3,1995-07-20 11:00:00+00:00,7,1,0.0,0,1.0,7,0,0,0.0,1.0,0.14285714285714285,0.0,7.0,0,0,-0.1702525720212924,-1,ANOMALY
nadda.mis.semi.harris.com,1995-07-02 17:00:00+00:00,4,4,928747.25,3714989,0.0,0,0,4,0.0,1.0,1.0,928747.25,0.0,1081049,4,-0.17022851837506536,-1,ANOMALY
jbiagioni.npt.nuwc.navy.mil,1995-07-13 15:00:00+00:00,198,154,4133.146464646465,818363,0.25252525252525254,50,0,138,0.0,1.0,0.7777777777777778,4133.146464646465,0.36231884057971014,92476,1,-0.17018720339223437,-1,ANOMALY
cesium.ms.sandia.gov,1995-07-24 18:00:00+00:00,74,67,117081.14864864865,8664005,0.0,0,0,74,0.0,1.0,0.9054054054054054,117081.14864864865,0.0,1013716,24,-0.16971515063383247,-1,ANOMALY
ariel.earth.nwu.edu,1995-07-04 17:00:00+00:00,99,83,31935.565656565657,3161621,0.020202020202020204,2,0,97,0.0,1.0,0.8383838383838383,31935.565656565657,0.020618556701030927,624036,14,-0.1689156681721733,-1,ANOMALY
198.14.55.105,1995-07-07 20:00:00+00:00,71,71,59189.394366197186,4202447,0.028169014084507043,2,0,62,0.0,1.0,1.0,59189.394366197186,0.03225806451612903,359062,14,-0.16862143690903686,-1,ANOMALY
128.217.62.81,1995-07-10 20:00:00+00:00,120,113,57549.03333333333,6905884,0.0,0,0,120,0.0,0.9833333333333333,0.9416666666666667,57549.03333333333,0.0,1188908,15,-0.16806808731733647,-1,ANOMALY
legolas.isl.ists.ca,1995-07-15 19:00:00+00:00,95,90,26140.484210526316,2483346,0.031578947368421054,3,0,91,0.0,1.0,0.9473684210526315,26140.484210526316,0.03296703296703297,726461,11,-0.16780421841784965,-1,ANOMALY
isi9.mtwilson.edu,1995-07-14 07:00:00+00:00,93,83,38484.75268817204,3579082,0.021505376344086023,2,0,89,0.0,1.0,0.8924731182795699,38484.75268817204,0.02247191011235955,221184,20,-0.16756978904963726,-1,ANOMALY
johanna.gkbc.mbag.str.daimler-benz.com,1995-07-03 05:00:00+00:00,7,7,707176.0,4950232,0.0,0,0,7,0.0,1.0,1.0,707176.0,0.0,1269716,7,-0.16754034123661166,-1,ANOMALY
hoohoo.ncsa.uiuc.edu,1995-07-19 14:00:00+00:00,45,45,4454.355555555556,200446,0.7555555555555555,34,0,11,0.0,1.0,1.0,4454.355555555556,3.090909090909091,64554,1,-0.16685971120677,-1,ANOMALY
ip-pool-2.pfc.mit.edu,1995-07-08 14:00:00+00:00,4,4,911914.0,3647656,0.0,0,0,4,0.0,1.0,1.0,911914.0,0.0,1013716,4,-0.16671614833822024,-1,ANOMALY
163.206.137.21,1995-07-17 16:00:00+00:00,78,32,173787.12820512822,13555396,0.0,0,0,77,0.0,0.5641025641025641,0.41025641025641024,173787.12820512822,0.0,1182717,26,-0.1666748803414082,-1,ANOMALY
epcot.cph.sni.de,1995-07-10 14:00:00+00:00,2,1,1013716.0,2027432,0.0,0,0,2,0.0,1.0,0.5,1013716.0,0.0,1013716,2,-0.16519567551176728,-1,ANOMALY
161.187.78.21,1995-07-10 13:00:00+00:00,4,4,880499.0,3521996,0.0,0,0,4,0.0,1.0,1.0,880499.0,0.0,1013716,4,-0.16496619158686954,-1,ANOMALY
welch.ncd.com,1995-07-12 20:00:00+00:00,3,3,976354.6666666666,2929064,0.0,0,0,3,0.0,1.0,1.0,976354.6666666666,0.0,1121554,3,-0.16492326124446455,-1,ANOMALY
jarvisd.ner.ora.fda.gov,1995-07-26 18:00:00+00:00,3,3,967791.0,2903373,0.0,0,0,3,0.0,1.0,1.0,967791.0,0.0,1121554,3,-0.16492326124446455,-1,ANOMALY
128.253.187.17,1995-07-19 03:00:00+00:00,90,87,42354.933333333334,3811944,0.0,0,0,89,0.0,1.0,0.9666666666666667,42354.933333333334,0.0,1182717,23,-0.16488091901692037,-1,ANOMALY
pipe2.h1.usa.pipeline.com,1995-07-18 15:00:00+00:00,16,7,501662.625,8026602,0.0,0,0,16,0.0,1.0,0.4375,501662.625,0.0,887988,15,-0.1648222878620984,-1,ANOMALY
163.205.162.112,1995-07-24 17:00:00+00:00,34,27,385343.23529411765,13101670,0.0,0,0,33,0.0,1.0,0.7941176470588235,385343.23529411765,0.0,1182717,22,-0.1648079472372873,-1,ANOMALY
www-c6.proxy.aol.com,1995-07-14 11:00:00+00:00,76,67,66622.76315789473,5063330,0.0,0,0,64,0.0,1.0,0.881578947368421,66622.76315789473,0.0,1082916,23,-0.16470602567734494,-1,ANOMALY
bufalo.monsanto.com,1995-07-15 14:00:00+00:00,59,47,27648.64406779661,1631270,0.1694915254237288,10,0,47,0.0,1.0,0.7966101694915254,27648.64406779661,0.2127659574468085,1182717,4,-0.16463925987497274,-1,ANOMALY
128.96.6.35,1995-07-10 14:00:00+00:00,4,4,841497.5,3365990,0.0,0,0,4,0.0,1.0,1.0,841497.5,0.0,1121554,4,-0.164466964612488,-1,ANOMALY
tsip09.ionet.net,1995-07-02 15:00:00+00:00,3,3,1019450.6666666666,3058352,0.0,0,0,3,0.0,1.0,1.0,1019450.6666666666,0.0,1081049,3,-0.1644240633063413,-1,ANOMALY
voter-classroom-ethernet-10.middlebury.edu,1995-07-23 22:00:00+00:00,79,71,29425.26582278481,2324596,0.05063291139240506,4,0,71,0.0,1.0,0.8987341772151899,29425.26582278481,0.056338028169014086,250849,15,-0.16432971090939863,-1,ANOMALY
fr120.forestry.umn.edu,1995-07-24 18:00:00+00:00,10,10,451404.1,4514041,0.1,1,0,9,0.0,1.0,1.0,451404.1,0.1111111111111111,1269716,6,-0.16429087879626036,-1,ANOMALY
192.90.127.11,1995-07-24 11:00:00+00:00,73,73,65927.79452054795,4812729,0.0136986301369863,1,0,71,0.0,1.0,1.0,65927.79452054795,0.014084507042253521,517624,29,-0.16421548602314384,-1,ANOMALY
mac80128.naa.rockwell.com,1995-07-12 18:00:00+00:00,69,66,89960.13043478261,6207249,0.0,0,0,65,0.0,1.0,0.9565217391304348,89960.13043478261,0.0,1121554,20,-0.16420697466812295,-1,ANOMALY
stat2.bst.rochester.edu,1995-07-07 04:00:00+00:00,5,4,723331.6,3616658,0.0,0,0,5,0.0,1.0,0.8,723331.6,0.0,1269716,5,-0.16412782527482628,-1,ANOMALY
192.214.84.69,1995-07-04 14:00:00+00:00,55,47,44154.01818181818,2428471,0.10909090909090909,6,0,49,0.0,1.0,0.8545454545454545,44154.01818181818,0.12244897959183673,402466,15,-0.16377719188440099,-1,ANOMALY
miriworld.its.unimelb.edu.au,1995-07-24 13:00:00+00:00,3,3,927536.3333333334,2782609,0.0,0,0,3,0.0,1.0,1.0,927536.3333333334,0.0,1269716,3,-0.16367589939577554,-1,ANOMALY
moe.bu.edu,1995-07-15 21:00:00+00:00,74,71,59525.55405405405,4404891,0.013513513513513514,1,0,68,0.0,1.0,0.9594594594594594,59525.55405405405,0.014705882352941176,936810,15,-0.16365424495025205,-1,ANOMALY
walt.cfr.washington.edu,1995-07-25 21:00:00+00:00,186,117,34706.7688172043,6455459,0.0,0,0,182,0.0,1.0,0.6290322580645161,34706.7688172043,0.0,332556,39,-0.16361325562175855,-1,ANOMALY
204.212.153.110,1995-07-01 16:00:00+00:00,7,7,673217.5714285715,4712523,0.0,0,0,7,0.0,1.0,1.0,673217.5714285715,0.0,1081049,7,-0.16354207159285195,-1,ANOMALY
128.158.47.132,1995-07-24 20:00:00+00:00,151,87,20322.80132450331,3068743,0.006622516556291391,1,0,148,0.0,1.0,0.5761589403973509,20322.80132450331,0.006756756756756757,327381,17,-0.16312103566106395,-1,ANOMALY
chiltern.u-net.com,1995-07-02 06:00:00+00:00,6,4,651043.3333333334,3906260,0.0,0,0,6,0.0,1.0,0.6666666666666666,651043.3333333334,0.0,1081049,6,-0.16309438371571872,-1,ANOMALY
128.158.48.26,1995-07-03 13:00:00+00:00,65,51,3693.7076923076925,240091,0.4,26,0,38,0.0,1.0,0.7846153846153846,3693.7076923076925,0.6842105263157895,93461,1,-0.16253375755639587,-1,ANOMALY
inamura.isl.melco.co.jp,1995-07-06 04:00:00+00:00,3,3,936356.3333333334,2809069,0.0,0,0,3,0.0,1.0,1.0,936356.3333333334,0.0,1121554,3,-0.16243064563359766,-1,ANOMALY
mother.cs.bham.ac.uk,1995-07-01 18:00:00+00:00,5,5,819310.4,4096552,0.0,0,0,5,0.0,1.0,1.0,819310.4,0.0,1269716,5,-0.16227194210505103,-1,ANOMALY
128.217.63.14,1995-07-20 13:00:00+00:00,6,1,0.0,0,1.0,6,0,0,0.0,1.0,0.16666666666666666,0.0,6.0,0,0,-0.16225782303941927,-1,ANOMALY
ns.trc.co.jp,1995-07-24 04:00:00+00:00,6,1,0.0,0,1.0,6,0,0,0.0,1.0,0.16666666666666666,0.0,6.0,0,0,-0.16225782303941927,-1,ANOMALY
news.ti.com,1995-07-05 22:00:00+00:00,181,110,24444.32044198895,4424422,0.0,0,0,165,0.0,1.0,0.6077348066298343,24444.32044198895,0.0,501126,18,-0.16215960251571337,-1,ANOMALY
192.223.3.88,1995-07-27 15:00:00+00:00,90,80,16514.544444444444,1486309,0.2111111111111111,19,0,71,0.0,1.0,0.8888888888888888,16514.544444444444,0.2676056338028169,283389,6,-0.16214872136379188,-1,ANOMALY
netspace.net.au,1995-07-09 13:00:00+00:00,9,9,770112.0,6931008,0.0,0,0,9,0.0,1.0,1.0,770112.0,0.0,3155499,4,-0.16211095751097304,-1,ANOMALY
dawn14.cs.berkeley.edu,1995-07-02 22:00:00+00:00,68,68,28020.691176470587,1905407,0.058823529411764705,4,0,61,0.0,1.0,1.0,28020.691176470587,0.06557377049180328,901120,8,-0.16208283597207962,-1,ANOMALY
n1123209.ksc.nasa.gov,1995-07-24 18:00:00+00:00,25,23,87838.08,2195952,0.36,9,0,16,0.0,1.0,0.92,87838.08,0.5625,806727,4,-0.16199392824331715,-1,ANOMALY
denali.ccs.neu.edu,1995-07-04 21:00:00+00:00,4,4,820979.75,3283919,0.0,0,0,4,0.0,1.0,1.0,820979.75,0.0,1121554,4,-0.16197589001386614,-1,ANOMALY
141.102.28.45,1995-07-19 00:00:00+00:00,150,98,42088.53333333333,6313280,0.0,0,0,148,0.0,1.0,0.6533333333333333,42088.53333333333,0.0,298302,54,-0.16196789673848144,-1,ANOMALY
frigga.wwic.com,1995-07-09 19:00:00+00:00,2,2,1195635.0,2391270,0.0,0,0,2,0.0,1.0,1.0,1195635.0,0.0,1269716,2,-0.1618002522700147,-1,ANOMALY
hiawatha.federated.com,1995-07-05 14:00:00+00:00,2,2,1195635.0,2391270,0.0,0,0,2,0.0,1.0,1.0,1195635.0,0.0,1269716,2,-0.1618002522700147,-1,ANOMALY
www-b3.proxy.aol.com,1995-07-02 03:00:00+00:00,24,21,122396.375,2937513,0.125,3,0,17,0.0,1.0,0.875,122396.375,0.17647058823529413,1121554,8,-0.1616001648052443,-1,ANOMALY
